company_id,industry
391906,book and periodical publishing
22292832,construction
20300,banking
3570660,book and periodical publishing
878353,staffing and recruiting
729238,it services and it consulting
766849,staffing and recruiting
12828,food and beverage services
2934678,it services and it consulting
15984730,it services and it consulting
34771607,financial services
947812,mining
6618000,it services and it consulting
5887,staffing and recruiting
34214892,e-learning providers
16239240,truck transportation
75056372,it services and it consulting
23656,staffing and recruiting
33218,staffing and recruiting
1712844,real estate
11056,staffing and recruiting
24440,it services and it consulting
4592,industrial machinery manufacturing
33671,food and beverage manufacturing
11676886,business consulting and services
7164053,banking
14158,staffing and recruiting
366025,truck transportation
18306,restaurants
6213,manufacturing
349088,oil and gas
3556531,retail apparel and fashion
4433,staffing and recruiting
4787,it services and it consulting
65294553,staffing and recruiting
90869,staffing and recruiting
7790573,business consulting and services
74827,it services and it consulting
5396873,software development
99410085,retail
261933,it services and it consulting
164376,it services and it consulting
36226,non-profit organizations
50861,staffing and recruiting
1054905,chemical manufacturing
18939015,staffing and recruiting
2855513,truck transportation
649827,staffing and recruiting
4015761,individual and family services
24803,staffing and recruiting
13345578,it services and it consulting
98504846,real estate
56833,staffing and recruiting
1705516,real estate
203227,human resources services
33279976,staffing and recruiting
3345041,non-profit organizations
54077952,motor vehicle manufacturing
27021761,it services and it consulting
5304844,construction
63155,gambling facilities and casinos
356432,facilities services
30104,staffing and recruiting
4674,utilities
8913985,software development
15457223,hospitals and health care
397597,human resources services
5117988,construction
53255,it services and it consulting
970538,staffing and recruiting
9372063,renewable energy semiconductor manufacturing
15506,financial services
2254994,staffing and recruiting
48024,construction
111849,it services and it consulting
77912635,online audio and video media
65647,staffing and recruiting
213746,staffing and recruiting
1381506,construction
146782,it services and it consulting
16169840,staffing and recruiting
612698,hospitals and health care
770551,hospitals and health care
35123,airlines and aviation
13333,staffing and recruiting
1404653,truck transportation
6522041,industrial machinery manufacturing
777243,staffing and recruiting
86734830,financial services
468898,it services and it consulting
24996269,hospitals and health care
164126,banking
75584764,it services and it consulting
3293893,real estate
10638654,hospitals and health care
1499970,facilities services
71373471,it services and it consulting
46970,staffing and recruiting
1552586,it services and it consulting
91371020,business consulting and services
22448914,business consulting and services
165464,it services and it consulting
47024,staffing and recruiting
100977746,it services and it consulting
10126963,staffing and recruiting
8323,software development
143796,staffing and recruiting
109785,food and beverage manufacturing
9280354,it services and it consulting
3638332,human resources services
56147841,medical practices
57301703,non-profit organizations
680248,manufacturing
3476,staffing and recruiting
1056670,it services and it consulting
18298504,financial services
13331595,it services and it consulting
705539,staffing and recruiting
934588,semiconductor manufacturing
28498,hospitals and health care
2911058,information services
10620373,software development
294125,it services and it consulting
74604183,it services and it consulting
3670040,construction
8556,financial services
361424,renewable energy semiconductor manufacturing
101478385,book and periodical publishing
26638644,it services and it consulting
684457,architecture and planning
259589,staffing and recruiting
2721914,telecommunications
90396,software development
19647,it services and it consulting
708917,financial services
72139474,financial services
3256227,investment management
8288,defense and space manufacturing
682039,airlines and aviation
82812549,financial services
1375914,industrial machinery manufacturing
1364228,it services and it consulting
10572843,paper and forest product manufacturing
2743,retail
42368,mining
886425,government administration
2121817,it services and it consulting
52147722,it services and it consulting
164075,truck transportation
331482,industrial machinery manufacturing
8919656,financial services
71951690,it services and it consulting
2985733,it services and it consulting
26162,non-profit organizations
22355,higher education
34616,it services and it consulting
1284538,insurance
2248728,automation machinery manufacturing
2740447,environmental services
2217,oil and gas
860999,it services and it consulting
77230639,mental health care
418549,hospitals and health care
16903,it services and it consulting
590130,it services and it consulting
13727,medical equipment manufacturing
35477056,software development
